Re_x,Nu_laminar,Nu_turbulent,Cf_laminar,Cf_turbulent,Re_critical_at_x_cr
10000,29.618123062795075,,0.01328,,500000
60201.005025125625,72.67071013134924,,0.005412479,,500000
110402.01005025125,98.411539,,0.003996774,,500000
160603.01507537687,118.69553447985314,,0.003313761,,500000
210804.0201005025,135.98686996430837,,0.002892402,,500000
261005.02512562813,151.31499496058356,,0.002599403,,500000
311206.03015075374,165.22719690521032,,0.002380532,,500000
361407.03517587937,178.05568088209048,,0.002209021,,500000
411608.0402,190.0200631291774,,0.002069932,,500000
461809.04522613063,201.27449736329805,,0.00195419,,500000
512010.05025125627,,975.2903998134597,,0.004154959,500000
562211.0552763819,,1051.0676407678254,,0.004077957,500000
612412.0603015075,,1125.501682,,0.004008794,500000
662613.0653266332,,1198.7238787723857,,0.003946122,500000
712814.0703517587,,1270.8437915473446,,0.003888904,500000
763015.0753768844,,1341.9540815471478,,0.003836329,500000
813216.0804,,1412.1340557043125,,0.00378775,500000
863417.0854271356,,1481.4522955471898,,0.003742643,500000
913618.0904522613,,1549.9686458255633,,0.003700578,500000
963819.0954773868,,1617.7357454952014,,0.003661199,500000
1014020.1005025125,,1684.8002247298173,,0.003624208,500000
1064221.1055276382,,1751.2036537377967,,0.003589352,500000
1114422.1105527638,,1816.9833041213924,,0.003556416,500000
1164623.1155778894,,1882.1727665855553,,0.003525213,500000
1214824.120603015,,1946.8024571192232,,0.003495584,500000
1265025.1256281405,,2010.9000355582962,,0.00346739,500000
1315226.1306532663,,2074.490754568773,,0.003440507,500000
1365427.135678392,,2137.597752828374,,0.003414828,500000
1415628.1407035175,,2200.2423030505824,,0.003390257,500000
1465829.145728643,,2262.444023159524,,0.003366711,500000
1516030.1507537689,,2324.221057163461,,0.003344113,500000
1566231.1557788944,,2385.590230933071,,0.003322395,500000
1616432.161,,2446.5671870581377,,0.003301498,500000
1666633.1658291456,,2507.1665021541803,,0.003281365,500000
1716834.1708542712,,2567.4017893621594,,0.003261946,500000
1767035.175879397,,2627.2857882880153,,0.003243198,500000
1817236.1809045225,,2686.8304442337935,,0.003225078,500000
1867437.185929648,,2746.046978255561,,0.003207549,500000
1917638.1909547737,,2804.945949327892,,0.003190576,500000
1967839.1959798995,,2863.537309687375,,0.003174129,500000
2018040.201005025,,2921.830454258262,,0.003158177,500000
2068241.2060301506,,2979.8342649243423,,0.003142695,500000
2118442.2110552764,,3037.5571502963285,,0.003127657,500000
2168643.216080402,,3095.007081528815,,0.003113041,500000
2218844.2211055276,,3152.1916246614965,,0.003098825,500000
2269045.226130653,,3209.1179698928336,,0.003084991,500000
2319246.2311557787,,3265.7929581384706,,0.003071518,500000
2369447.2361809043,,3322.2231051795084,,0.003058391,500000
2419648.241,,3378.414623665713,,0.003045594,500000
2469849.2462311555,,3434.3734432046986,,0.003033112,500000
2520050.251256281,,3490.1052287390576,,0.00302093,500000
2570251.256281407,,3545.615397388498,,0.003009036,500000
2620452.2613065327,,3600.9091339126485,,0.002997417,500000
2670653.2663316582,,3655.9914049317144,,0.002986063,500000
2720854.271356784,,3710.8669720262246,,0.002974962,500000
2771055.2763819094,,3765.540404,,0.002964104,500000
2821256.281407035,,3820.016087164369,,0.00295348,500000
2871457.2864321605,,3874.298237440413,,0.00294308,500000
2921658.291457286,,3928.390908168313,,0.002932896,500000
2971859.2964824117,,3982.297999877974,,0.002922919,500000
3022060.3015075377,,4036.023268369529,,0.002913143,500000
3072261.3065326633,,4089.5703323953176,,0.00290356,500000
3122462.311557789,,4142.942680815431,,0.002894163,500000
3172663.3165829144,,4196.1436792707345,,0.002884946,500000
3222864.322,,4249.176576413049,,0.002875902,500000
3273065.3266331656,,4302.044509728291,,0.002867025,500000
3323266.331658291,,4354.750510985004,,0.002858311,500000
3373467.3366834167,,4407.297511337678,,0.002849753,500000
3423668.3417085423,,4459.688346111498,,0.002841346,500000
3473869.3467336684,,4511.925759292839,,0.002833086,500000
3524070.351758794,,4564.012407747537,,0.002824968,500000
3574271.3567839195,,4615.950865187115,,0.002816988,500000
3624472.361809045,,4667.743625901325,,0.002809141,500000
3674673.3668341707,,4719.393108273835,,0.002801423,500000
3724874.371859296,,4770.901658096432,,0.002793831,500000
3775075.376884422,,4822.271551695848,,0.002786361,500000
3825276.3819095474,,4873.504998886173,,0.002779009,500000
3875477.386934673,,4924.604145758703,,0.002771772,500000
3925678.391959799,,4975.571077320204,,0.002764646,500000
3975879.3969849246,,5026.407819989614,,0.002757629,500000
4026080.402,,5077.116343962529,,0.002750718,500000
4076281.4070351757,,5127.698565451963,,0.002743909,500000
4126482.4120603013,,5178.1563488133625,,0.0027372,500000
4176683.417085427,,5228.491508561145,,0.002730588,500000
4226884.422110553,,5278.705811283556,,0.002724071,500000
4277085.427135678,,5328.800977462113,,0.002717646,500000
4327286.432160804,,5378.778683,,0.002711311,500000
4377487.437185929,,5428.6405618750005,,0.002705064,500000
4427688.442211055,,5478.388205691385,,0.002698902,500000
4477889.447,,5528.023167186447,,0.002692823,500000
4528090.452261306,,5577.546960644984,,0.002686826,500000
4578291.457286431,,5626.961063456394,,0.002680907,500000
4628492.4623115575,,5676.266917407944,,0.002675066,500000
4678693.4673366835,,5725.465929919176,,0.002669301,500000
4728894.472361809,,5774.559475220761,,0.00266361,500000
4779095.477386935,,5823.548895,,0.00265799,500000
4829296.482,,5872.435501881608,,0.002652441,500000
4879497.487437186,,5921.2205756492485,,0.002646961,500000
4929698.492462311,,5969.905369038996,,0.002641547,500000
4979899.497487437,,6018.491106,,0.0026362,500000
5030100.502512562,,6066.978984470633,,0.002630917,500000
5080301.507537688,,6115.370174459829,,0.002625697,500000
5130502.512562814,,6163.665821660754,,0.002620538,500000
5180703.517587939,,6211.867046854253,,0.00261544,500000
5230904.522613065,,6259.974946950417,,0.0026104,500000
5281105.528,,6307.990595720994,,0.002605419,500000
5331306.5326633165,,6355.915044502614,,0.002600493,500000
5381507.537688442,,6403.749322872186,,0.002595623,500000
5431708.542713568,,6451.494439295892,,0.002590808,500000
5481909.547738693,,6499.151381752989,,0.002586045,500000
5532110.552763819,,6546.721118335649,,0.002581335,500000
5582311.557788945,,6594.204597825954,,0.002576675,500000
5632512.563,,6641.602750251107,,0.002572066,500000
5682713.567839196,,6688.916487417898,,0.002567505,500000
5732914.572864321,,6736.1467034273355,,0.002562993,500000
5783115.577889447,,6783.294275170375,,0.002558528,500000
5833316.582914572,,6830.360062805588,,0.002554109,500000
5883517.587939698,,6877.344910219582,,0.002549735,500000
5933718.592964823,,6924.2496454709235,,0.002545406,500000
5983919.597989949,,6971.075081,,0.002541121,500000
6034120.603015075,,7017.822015133697,,0.002536879,500000
6084321.608040201,,7064.491230300882,,0.002532678,500000
6134522.613065327,,7111.083495600472,,0.00252852,500000
6184723.618090452,,7157.599566081469,,0.002524401,500000
6234924.623115578,,7204.040183320275,,0.002520323,500000
6285125.628140703,,7250.406075767556,,0.002516284,500000
6335326.633165829,,7296.697959083463,,0.002512284,500000
6385527.638190954,,7342.916536461713,,0.002508321,500000
6435728.643,,7389.062498942991,,0.002504396,500000
6485929.648241206,,7435.1365257180605,,0.002500507,500000
6536130.653266331,,7481.139284,,0.002496654,500000
6586331.658291457,,7527.071431413329,,0.002492836,500000
6636532.663316582,,7572.933612,,0.002489054,500000
6686733.668341708,,7618.726460986779,,0.002485305,500000
6736934.6733668335,,7664.450602356093,,0.00248159,500000
6787135.6783919595,,7710.1066500981715,,0.002477908,500000
6837336.683417085,,7755.695208162135,,0.002474259,500000
6887537.688442211,,7801.216870748528,,0.002470641,500000
6937738.693467337,,7846.672222536543,,0.002467055,500000
6987939.698492462,,7892.0618389043275,,0.0024635,500000
7038140.703517588,,7937.386286142658,,0.002459976,500000
7088341.708542713,,7982.646121662212,,0.002456482,500000
7138542.713567839,,8027.841894194694,,0.002453017,500000
7188743.718592964,,8072.974143987991,,0.002449581,500000
7238944.724,,8118.043402995654,,0.002446174,500000
7289145.728643215,,8163.050195060823,,0.002442796,500000
7339346.733668341,,8207.995036,,0.002439445,500000
7389547.738693467,,8252.878434250842,,0.002436121,500000
7439748.743718592,,8297.700890092112,,0.002432825,500000
7489949.7487437185,,8342.462896756058,,0.002429555,500000
7540150.753768844,,8387.164940113274,,0.002426311,500000
7590351.759,,8431.807498922293,,0.002423093,500000
7640552.763819095,,8476.391044979999,,0.002419901,500000
7690753.768844221,,8520.916043267913,,0.002416733,500000
7740954.773869346,,8565.382952094453,,0.00241359,500000
7791155.778894472,,8609.792223233348,,0.002410472,500000
7841356.783919598,,8654.144302058272,,0.002407378,500000
7891557.788944723,,8698.439627673888,,0.002404307,500000
7941758.793969849,,8742.678633043386,,0.00240126,500000
7991959.798994974,,8786.861745112636,,0.002398235,500000
8042160.804,,8830.989384931056,,0.002395234,500000
8092361.809045225,,8875.061968,,0.002392255,500000
8142562.814070351,,8919.079903234091,,0.002389298,500000
8192763.8190954765,,8963.043595379506,,0.002386362,500000
8242964.824120603,,9006.953442816188,,0.002383449,500000
8293165.829145729,,9050.809838817162,,0.002380556,500000
8343366.834170854,,9094.613171,,0.002377684,500000
8393567.839,,9138.363824,,0.002374833,500000
8443768.844221106,,9182.062173024271,,0.002372003,500000
8493969.849,,9225.708592823574,,0.002369192,500000
8544170.854271356,,9269.303451015647,,0.002366402,500000
8594371.859296482,,9312.847110929477,,0.002363631,500000
8644572.864321608,,9356.339931227727,,0.002360879,500000
8694773.869346732,,9399.782265993408,,0.002358147,500000
8744974.874371858,,9443.174464814445,,0.002355433,500000
8795175.879396984,,9486.516873,,0.002352738,500000
8845376.884,,9529.809830992026,,0.002350061,500000
8895577.889447236,,9573.053675781899,,0.002347403,500000
8945778.894,,9616.248739649189,,0.002344762,500000
8995979.899497487,,9659.395350905614,,0.00234214,500000
9046180.904522613,,9702.493833834455,,0.002339534,500000
9096381.909547739,,9745.544508762041,,0.002336946,500000
9146582.914572863,,9788.547692127606,,0.002334375,500000
9196783.919597989,,9831.503696551516,,0.002331821,500000
9246984.924623115,,9874.412830901936,,0.002329284,500000
9297185.929648241,,9917.275400359993,,0.002326763,500000
9347386.934673367,,9960.091706483434,,0.002324259,500000
9397587.939698491,,10002.862047268874,,0.00232177,500000
9447788.944723617,,10045.586717212647,,0.002319297,500000
9497989.949748743,,10088.26600737027,,0.002316841,500000
9548190.955,,10130.900205414624,,0.002314399,500000
9598391.959798994,,10173.489595692838,,0.002311973,500000
9648592.965,,10216.03445928192,,0.002309562,500000
9698793.969849246,,10258.535074043166,,0.002307166,500000
9748994.974874372,,10300.991714675405,,0.002304786,500000
9799195.979899498,,10343.404652767083,,0.002302419,500000
9849396.984924622,,10385.774156847227,,0.002300067,500000
9899597.989949748,,10428.100492435318,,0.00229773,500000
9949798.994974874,,10470.383922090106,,0.002295407,500000
10000000,,10512.624705457389,,0.002293097,500000